# GAS: CCl$_4$
# UNITS: Tg CO2-eq
# GWP100yr: 2110.0
 Year,  Inventory, Invent_std,      InTEM,  InTEM_std
 1990,           ,           ,      2.933,      0.806
 1991,           ,           ,      2.595,      0.772
 1992,           ,           ,      1.583,      0.483
 1993,           ,           ,      0.823,      0.310
 1994,           ,           ,      0.485,      0.190
 1995,           ,           ,      0.549,      0.152
 1996,           ,           ,      0.549,      0.133
 1997,           ,           ,      0.443,      0.127
 1998,           ,           ,      0.390,      0.125
 1999,           ,           ,      0.352,      0.122
 2000,           ,           ,      0.274,      0.118
 2001,           ,           ,      0.245,      0.122
 2002,           ,           ,      0.243,      0.120
 2003,           ,           ,      0.230,      0.120
 2004,           ,           ,      0.211,      0.118
 2005,           ,           ,      0.181,      0.108
 2006,           ,           ,      0.175,      0.105
 2007,           ,           ,      0.209,      0.113
 2008,           ,           ,      0.211,      0.116
 2009,           ,           ,      0.137,      0.100
 2010,           ,           ,      0.084,      0.090
 2011,           ,           ,      0.120,      0.096
 2012,           ,           ,      0.154,      0.096
 2013,           ,           ,      0.110,      0.161
 2014,           ,           ,      0.156,      0.149
 2015,           ,           ,      0.228,      0.168
 2016,           ,           ,      0.245,      0.191
 2017,           ,           ,      0.188,      0.232
 2018,           ,           ,      0.148,      0.242
 2019,           ,           ,      0.002,      0.143
 2020,           ,           ,      0.072,      0.122
