# GAS: CH$_4$
# UNITS: Tg CO2-eq
# GWP100yr: 28.0
 Year, Invent2021, Invent_std,      InTEM,  InTEM_std
 1990,    150.080,     17.920,     62.160,     10.360
 1991,    150.640,     17.920,     61.880,      9.800
 1992,    150.640,     17.640,     56.000,      9.240
 1993,    148.960,     17.360,     57.400,      9.240
 1994,    141.120,     16.240,     64.120,      8.680
 1995,    143.080,     16.240,     59.360,      7.840
 1996,    142.240,     15.960,     72.240,      8.400
 1997,    139.720,     15.400,     62.440,      8.400
 1998,    135.800,     14.840,     66.640,      9.240
 1999,    129.360,     14.000,     62.440,     10.080
 2000,    123.480,     13.160,     52.080,      8.120
 2001,    118.160,     12.320,     61.320,      8.120
 2002,    115.640,     12.040,     57.120,      8.400
 2003,    110.320,     11.200,     62.720,      8.960
 2004,    105.280,     10.640,     59.360,      8.120
 2005,    100.240,     10.080,     59.640,      7.560
 2006,     95.480,      9.520,     58.520,      8.120
 2007,     91.280,      8.960,     60.760,      8.120
 2008,     84.840,      8.120,     57.400,      8.120
 2009,     80.080,      7.560,     51.240,      8.120
 2010,     75.040,      7.000,     58.520,      7.000
 2011,     71.960,      6.720,     48.440,      7.280
 2012,     70.280,      6.440,     69.720,      4.200
 2013,     65.800,      5.880,     62.440,      3.640
 2014,     63.560,      5.600,     63.560,      2.800
 2015,     62.440,      5.320,     60.760,      2.800
 2016,     60.480,      5.040,     60.200,      3.080
 2017,     61.040,      5.040,     57.680,      2.800
 2018,     60.760,      5.040,     59.920,      3.080
 2019,     60.480,      5.040,     56.840,      2.800
 2020,           ,           ,     54.320,      2.800
 2021,           ,           ,     56.280,      3.640
