# GAS: CFC-11
# UNITS: Tg CO2-eq
# GWP100yr: 5160.0
 Year,  Inventory, Invent_std,      InTEM,  InTEM_std
 1990,           ,           ,     31.115,      4.572
 1991,           ,           ,     19.298,      3.793
 1992,           ,           ,     13.674,      2.632
 1993,           ,           ,      8.514,      1.780
 1994,           ,           ,      5.676,      1.213
 1995,           ,           ,      5.882,      0.882
 1996,           ,           ,      6.037,      0.733
 1997,           ,           ,      5.005,      0.650
 1998,           ,           ,      4.489,      0.645
 1999,           ,           ,      4.334,      0.655
 2000,           ,           ,      3.922,      0.645
 2001,           ,           ,      3.354,      0.624
 2002,           ,           ,      3.354,      0.583
 2003,           ,           ,      4.231,      0.599
 2004,           ,           ,      3.818,      0.526
 2005,           ,           ,      2.580,      0.439
 2006,           ,           ,      2.580,      0.480
 2007,           ,           ,      2.683,      0.501
 2008,           ,           ,      2.374,      0.454
 2009,           ,           ,      2.012,      0.382
 2010,           ,           ,      1.858,      0.366
 2011,           ,           ,      1.651,      0.320
 2012,           ,           ,      1.496,      0.310
 2013,           ,           ,      1.703,      0.609
 2014,           ,           ,      1.445,      0.413
 2015,           ,           ,      1.496,      0.459
 2016,           ,           ,      1.858,      0.552
 2017,           ,           ,      2.116,      0.511
 2018,           ,           ,      0.955,      0.598
 2019,           ,           ,      0.846,      0.276
 2020,           ,           ,      0.800,      0.223
