# GAS: 
# UNITS: Tg CO2-eq
# GWP100yr: 2070.0
 Year,  Inventory, Invent_std,      InTEM,  InTEM_std
 1994,           ,           ,      1.008,      0.711
 1995,           ,           ,      1.215,      0.642
 1996,           ,           ,      1.225,      0.545
 1997,           ,           ,      1.126,      0.474
 1998,           ,           ,      1.317,      0.367
 1999,           ,           ,      1.219,      0.258
 2000,           ,           ,      1.016,      0.207
 2001,           ,           ,      0.795,      0.158
 2002,           ,           ,      0.495,      0.105
 2003,           ,           ,      0.387,      0.105
 2004,           ,           ,      0.300,      0.106
 2005,           ,           ,      0.185,      0.092
 2006,           ,           ,      0.156,      0.086
 2007,           ,           ,      0.178,      0.088
 2008,           ,           ,      0.166,      0.083
 2009,           ,           ,      0.146,      0.070
 2010,           ,           ,      0.169,      0.063
 2011,           ,           ,      0.198,      0.056
 2012,           ,           ,      0.213,      0.045
 2013,           ,           ,      0.195,      0.067
 2014,           ,           ,      0.171,      0.053
 2015,           ,           ,      0.149,      0.026
 2016,           ,           ,      0.134,      0.041
 2017,           ,           ,      0.145,      0.034
 2018,           ,           ,      0.145,      0.063
 2019,           ,           ,      0.109,      0.034
 2020,           ,           ,      0.116,      0.030
 2021,           ,           ,      0.124,      0.037
