# GAS: HFC-134a
# UNITS: Tg CO2-eq
# GWP100yr: 1360.0
 Year, Invent2021, Invent_std,      InTEM,  InTEM_std
 1990,      0.009,      0.001,           ,           
 1991,      0.024,      0.002,           ,           
 1992,      0.048,      0.003,           ,           
 1993,      0.218,      0.016,           ,           
 1994,      0.503,      0.035,           ,           
 1995,      0.789,      0.056,      0.748,      0.214
 1996,      1.129,      0.078,      1.183,      0.264
 1997,      1.455,      0.099,      1.183,      0.314
 1998,      1.850,      0.125,      1.333,      0.313
 1999,      2.271,      0.150,      1.455,      0.254
 2000,      2.666,      0.174,      1.618,      0.261
 2001,      3.087,      0.199,      2.013,      0.271
 2002,      3.359,      0.214,      2.366,      0.252
 2003,      3.631,      0.227,      2.693,      0.267
 2004,      3.890,      0.239,      2.734,      0.268
 2005,      4.230,      0.256,      2.570,      0.246
 2006,      4.515,      0.269,      2.829,      0.248
 2007,      4.665,      0.273,      3.441,      0.280
 2008,      4.774,      0.275,      3.550,      0.277
 2009,      4.896,      0.277,      3.441,      0.256
 2010,      5.018,      0.279,      3.835,      0.294
 2011,      5.168,      0.283,      4.148,      0.335
 2012,      5.358,      0.288,      4.216,      0.329
 2013,      5.494,      0.290,      4.352,      0.530
 2014,      5.562,      0.288,      4.039,      0.422
 2015,      5.576,      0.283,      4.053,      0.401
 2016,      5.549,      0.276,      4.406,      0.476
 2017,      5.481,      0.268,      4.733,      0.555
 2018,      5.331,      0.256,      4.978,      0.465
 2019,      4.991,      0.235,      3.155,      0.343
 2020,           ,           ,      2.897,      0.330
 2021,           ,           ,      3.414,      0.388
