# GAS: HFC-23
# UNITS: Tg CO2-eq
# GWP100yr: 12690.0
 Year, Invent2021, Invent_std,      InTEM,  InTEM_std
 1990,     12.309,      0.926,           ,           
 1991,     12.817,      0.952,           ,           
 1992,     13.325,      0.977,           ,           
 1993,     13.832,      1.003,           ,           
 1994,     14.340,      1.028,           ,           
 1995,     15.101,      1.066,           ,           
 1996,     15.482,      1.066,           ,           
 1997,     16.878,      1.155,           ,           
 1998,     13.071,      0.876,           ,           
 1999,      5.203,      0.343,           ,           
 2000,      2.792,      0.178,           ,           
 2001,      2.500,      0.161,           ,           
 2002,      2.094,      0.133,           ,           
 2003,      2.018,      0.126,           ,           
 2004,      0.368,      0.023,           ,           
 2005,      0.355,      0.022,           ,           
 2006,      0.218,      0.013,           ,           
 2007,      0.105,      0.006,           ,           
 2008,      0.060,      0.003,      0.194,      0.194
 2009,      0.048,      0.003,      0.211,      0.179
 2010,      0.014,      0.001,      0.279,      0.175
 2011,      0.013,      0.001,      0.254,      0.148
 2012,      0.011,      0.001,      0.247,      0.137
 2013,      0.013,      0.001,      0.240,      0.250
 2014,      0.016,      0.001,      0.279,      0.258
 2015,      0.017,      0.001,      0.241,      0.242
 2016,      0.019,      0.001,      0.355,      0.298
 2017,      0.018,      0.001,      0.189,      0.354
 2018,      0.020,      0.001,      0.147,      0.255
 2019,      0.022,      0.001,      0.159,      0.127
 2020,           ,           ,      0.070,      0.143
 2021,           ,           ,      0.250,      0.256
