# GAS: HFC-245fa
# UNITS: Tg CO2-eq
# GWP100yr: 880.0
 Year, Invent2021, Invent_std,      InTEM,  InTEM_std
 1998,      0.001,      0.000,           ,           
 1999,      0.005,      0.000,           ,           
 2000,      0.010,      0.001,           ,           
 2001,      0.021,      0.001,           ,           
 2002,      0.032,      0.002,           ,           
 2003,      0.051,      0.003,           ,           
 2004,      0.058,      0.004,           ,           
 2005,      0.064,      0.004,           ,           
 2006,      0.069,      0.004,           ,           
 2007,      0.075,      0.004,           ,           
 2008,      0.059,      0.003,      0.056,      0.014
 2009,      0.060,      0.003,      0.048,      0.014
 2010,      0.061,      0.003,      0.042,      0.013
 2011,      0.061,      0.003,      0.035,      0.012
 2012,      0.063,      0.003,      0.030,      0.010
 2013,      0.066,      0.003,      0.027,      0.011
 2014,      0.070,      0.004,      0.023,      0.012
 2015,      0.074,      0.004,      0.042,      0.011
 2016,      0.079,      0.004,      0.040,      0.015
 2017,      0.084,      0.004,      0.048,      0.017
 2018,      0.086,      0.004,      0.055,      0.017
 2019,      0.087,      0.004,      0.035,      0.013
 2020,           ,           ,      0.037,      0.010
 2021,           ,           ,      0.049,      0.013
