# GAS: N$_2$O
# UNITS: Tg CO2-eq
# GWP100yr: 265.0
 Year, Invent2021, Invent_std,      InTEM,  InTEM_std
 1990,     43.990,      6.519,           ,           
 1991,     44.255,      6.439,           ,           
 1992,     39.750,      5.697,           ,           
 1993,     36.040,      5.061,           ,           
 1994,     36.570,      5.061,           ,           
 1995,     35.510,      4.823,     23.532,      5.099
 1996,     35.510,      4.717,     33.655,      5.141
 1997,     35.775,      4.664,     28.090,      5.803
 1998,     35.775,      4.558,     33.390,      5.618
 1999,     27.030,      3.392,     27.560,      5.856
 2000,     26.500,      3.260,     21.200,      4.614
 2001,     25.122,      3.021,     24.672,      5.340
 2002,     23.665,      2.785,     22.976,      5.401
 2003,     23.267,      2.682,     25.122,      5.271
 2004,     23.691,      2.671,     28.355,      5.194
 2005,     22.896,      2.525,     24.989,      4.842
 2006,     21.863,      2.356,     21.279,      5.486
 2007,     21.889,      2.303,     27.560,      5.141
 2008,     21.253,      2.184,     19.265,      4.852
 2009,     19.901,      1.993,     19.345,      4.993
 2010,     20.273,      1.982,     20.193,      4.730
 2011,     19.584,      1.863,     19.265,      5.496
 2012,     19.424,      1.799,     26.765,      2.994
 2013,     19.372,      1.746,     24.300,      2.531
 2014,     19.981,      1.749,     24.195,      2.027
 2015,     19.610,      1.667,     22.340,      1.871
 2016,     19.398,      1.601,     24.433,      1.956
 2017,     19.796,      1.585,     24.300,      1.863
 2018,     19.610,      1.521,     24.777,      2.003
 2019,     19.769,      1.484,     22.525,      1.720
 2020,           ,           ,     22.075,      1.799
 2021,           ,           ,     22.340,      2.181
