# GAS: PFC-14
# UNITS: Tg CO2-eq
# GWP100yr: 6630.0
 Year, Invent2021, Invent_std,      InTEM,  InTEM_std
 1990,      1.174,      0.029,           ,           
 1991,      0.975,      0.029,           ,           
 1992,      0.455,      0.015,           ,           
 1993,      0.366,      0.014,           ,           
 1994,      0.341,      0.014,           ,           
 1995,      0.296,      0.014,           ,           
 1996,      0.302,      0.015,           ,           
 1997,      0.255,      0.014,           ,           
 1998,      0.255,      0.015,           ,           
 1999,      0.247,      0.016,           ,           
 2000,      0.318,      0.022,           ,           
 2001,      0.249,      0.018,           ,           
 2002,      0.190,      0.015,           ,           
 2003,      0.154,      0.013,           ,           
 2004,      0.190,      0.016,           ,           
 2005,      0.142,      0.013,      0.377,      0.119
 2006,      0.164,      0.015,      0.338,      0.107
 2007,      0.123,      0.012,      0.311,      0.085
 2008,      0.146,      0.015,      0.291,      0.089
 2009,      0.097,      0.010,      0.216,      0.085
 2010,      0.143,      0.016,      0.192,      0.077
 2011,      0.191,      0.022,      0.172,      0.066
 2012,      0.067,      0.008,      0.133,      0.056
 2013,      0.069,      0.009,      0.132,      0.107
 2014,      0.095,      0.012,      0.145,      0.105
 2015,      0.081,      0.011,      0.135,      0.119
 2016,      0.090,      0.012,      0.139,      0.171
 2017,      0.104,      0.015,      0.098,      0.182
 2018,      0.091,      0.013,      0.100,      0.122
 2019,      0.100,      0.015,      0.088,      0.074
 2020,           ,           ,      0.129,      0.079
 2021,           ,           ,      0.241,      0.109
