# GAS: SF$_6$
# UNITS: Tg CO2-eq
# GWP100yr: 23500.0
 Year, Invent2021, Invent_std,      InTEM,  InTEM_std
 1990,      1.356,      0.072,           ,           
 1991,      1.398,      0.074,           ,           
 1992,      1.443,      0.076,           ,           
 1993,      1.264,      0.067,           ,           
 1994,      1.309,      0.069,           ,           
 1995,      1.354,      0.072,           ,           
 1996,      1.401,      0.074,           ,           
 1997,      1.370,      0.073,           ,           
 1998,      1.419,      0.075,           ,           
 1999,      1.589,      0.084,           ,           
 2000,      1.915,      0.102,           ,           
 2001,      1.537,      0.082,           ,           
 2002,      1.575,      0.083,           ,           
 2003,      1.394,      0.074,      2.655,      2.355
 2004,      1.180,      0.063,      1.137,      0.649
 2005,      1.112,      0.059,      0.505,      0.512
 2006,      0.931,      0.049,      1.027,      0.691
 2007,      0.884,      0.047,      0.858,      1.645
 2008,      0.721,      0.038,      1.318,      0.775
 2009,      0.630,      0.033,      1.196,      0.761
 2010,      0.731,      0.039,      1.476,      0.552
 2011,      0.646,      0.034,      0.580,      0.437
 2012,      0.627,      0.033,      0.989,      1.318
 2013,      0.538,      0.028,      0.872,      0.627
 2014,      0.515,      0.027,      0.557,      0.197
 2015,      0.491,      0.026,      0.616,      0.188
 2016,      0.515,      0.027,      0.677,      0.329
 2017,      0.526,      0.028,      0.449,      0.219
 2018,      0.634,      0.034,      0.705,      0.287
 2019,      0.609,      0.032,      0.505,      0.148
 2020,           ,           ,      0.383,      0.143
 2021,           ,           ,      0.501,      0.421
