# GAS: CFC-12
# UNITS: Tg CO2-eq
# GWP100yr: 10300.0
 Year,  Inventory, Invent_std,      InTEM,  InTEM_std
 1990,           ,           ,     53.663,     10.372
 1991,           ,           ,     33.681,      8.219
 1992,           ,           ,     31.518,      7.169
 1993,           ,           ,     25.235,      5.974
 1994,           ,           ,     18.952,      4.089
 1995,           ,           ,     17.716,      2.874
 1996,           ,           ,     16.892,      2.379
 1997,           ,           ,     13.287,      2.132
 1998,           ,           ,     10.506,      1.978
 1999,           ,           ,      8.755,      1.782
 2000,           ,           ,      6.798,      1.545
 2001,           ,           ,      5.665,      1.370
 2002,           ,           ,      5.768,      1.246
 2003,           ,           ,      6.180,      1.112
 2004,           ,           ,      5.047,      0.937
 2005,           ,           ,      3.605,      0.752
 2006,           ,           ,      3.399,      0.721
 2007,           ,           ,      3.193,      0.762
 2008,           ,           ,      2.678,      0.762
 2009,           ,           ,      2.060,      0.700
 2010,           ,           ,      1.689,      0.624
 2011,           ,           ,      1.566,      0.599
 2012,           ,           ,      1.535,      0.560
 2013,           ,           ,      1.452,      0.801
 2014,           ,           ,      1.669,      0.768
 2015,           ,           ,      1.112,      0.883
 2016,           ,           ,      0.896,      0.806
 2017,           ,           ,      1.009,      0.953
 2018,           ,           ,      0.937,      0.946
 2019,           ,           ,      0.505,      0.564
 2020,           ,           ,      0.464,      0.579
