# GAS: 
# UNITS: Tg CO2-eq
# GWP100yr: 800.0
 Year,  Inventory, Invent_std,      InTEM,  InTEM_std
 1994,           ,           ,      0.920,      0.404
 1995,           ,           ,      0.904,      0.346
 1996,           ,           ,      0.824,      0.292
 1997,           ,           ,      0.776,      0.309
 1998,           ,           ,      0.760,      0.238
 1999,           ,           ,      0.704,      0.140
 2000,           ,           ,      0.736,      0.127
 2001,           ,           ,      0.760,      0.117
 2002,           ,           ,      0.768,      0.098
 2003,           ,           ,      0.672,      0.085
 2004,           ,           ,      0.360,      0.062
 2005,           ,           ,      0.149,      0.043
 2006,           ,           ,      0.135,      0.043
 2007,           ,           ,      0.154,      0.040
 2008,           ,           ,      0.146,      0.030
 2009,           ,           ,      0.131,      0.025
 2010,           ,           ,      0.128,      0.027
 2011,           ,           ,      0.130,      0.022
 2012,           ,           ,      0.132,      0.019
 2013,           ,           ,      0.112,      0.041
 2014,           ,           ,      0.135,      0.037
 2015,           ,           ,      0.115,      0.034
 2016,           ,           ,      0.102,      0.034
 2017,           ,           ,      0.123,      0.028
 2018,           ,           ,      0.120,      0.039
 2019,           ,           ,      0.118,      0.052
 2020,           ,           ,      0.106,      0.026
 2021,           ,           ,      0.118,      0.031
