# GAS: 
# UNITS: Tg CO2-eq
# GWP100yr: 1780.0
 Year,  Inventory, Invent_std,      InTEM,  InTEM_std
 1999,           ,           ,      4.272,      0.856
 2000,           ,           ,      4.379,      0.958
 2001,           ,           ,      4.486,      0.904
 2002,           ,           ,      4.272,      0.707
 2003,           ,           ,      4.165,      0.655
 2004,           ,           ,      3.845,      0.605
 2005,           ,           ,      3.240,      0.527
 2006,           ,           ,      3.168,      0.495
 2007,           ,           ,      3.257,      0.497
 2008,           ,           ,      2.688,      0.436
 2009,           ,           ,      2.118,      0.372
 2010,           ,           ,      1.994,      0.388
 2011,           ,           ,      1.584,      0.356
 2012,           ,           ,      1.228,      0.276
 2013,           ,           ,      1.157,      0.445
 2014,           ,           ,      0.837,      0.324
 2015,           ,           ,      0.676,      0.347
 2016,           ,           ,      0.516,      0.374
 2017,           ,           ,      0.641,      0.326
 2018,           ,           ,      0.392,      0.288
 2019,           ,           ,      0.215,      0.140
 2020,           ,           ,      0.137,      0.112
 2021,           ,           ,      0.142,      0.127
