# GAS: HFC-125
# UNITS: Tg CO2-eq
# GWP100yr: 3450.0
 Year, Invent2021, Invent_std,      InTEM,  InTEM_std
 1990,      0.000,      0.000,           ,           
 1991,      0.000,      0.000,           ,           
 1992,      0.000,      0.000,           ,           
 1993,      0.001,      0.000,           ,           
 1994,      0.006,      0.000,           ,           
 1995,      0.027,      0.002,           ,           
 1996,      0.072,      0.005,           ,           
 1997,      0.155,      0.011,           ,           
 1998,      0.273,      0.018,           ,           
 1999,      0.428,      0.028,      0.863,      0.152
 2000,      0.562,      0.037,      0.759,      0.179
 2001,      0.759,      0.048,      0.966,      0.200
 2002,      0.897,      0.059,      1.242,      0.162
 2003,      1.104,      0.069,      1.380,      0.162
 2004,      1.345,      0.083,      1.449,      0.166
 2005,      1.552,      0.093,      1.552,      0.155
 2006,      1.966,      0.117,      1.863,      0.169
 2007,      2.104,      0.124,      2.277,      0.197
 2008,      2.312,      0.135,      2.381,      0.190
 2009,      2.518,      0.141,      2.346,      0.186
 2010,      2.795,      0.155,      2.656,      0.228
 2011,      3.105,      0.169,      3.105,      0.266
 2012,      3.346,      0.179,      3.381,      0.279
 2013,      3.554,      0.190,      3.588,      0.480
 2014,      3.692,      0.190,      2.725,      0.428
 2015,      3.726,      0.190,      3.519,      0.376
 2016,      3.830,      0.190,      3.243,      0.407
 2017,      3.898,      0.190,      3.485,      0.493
 2018,      3.830,      0.183,      3.485,      0.421
 2019,      3.726,      0.176,      2.518,      0.342
 2020,           ,           ,      2.208,      0.286
 2021,           ,           ,      2.450,      0.338
