# GAS: HFC-152a
# UNITS: Tg CO2-eq
# GWP100yr: 148.0
 Year, Invent2021, Invent_std,      InTEM,  InTEM_std
 1990,      0.000,      0.000,           ,           
 1991,      0.000,      0.000,           ,           
 1992,      0.000,      0.000,           ,           
 1993,      0.000,      0.000,           ,           
 1994,      0.001,      0.000,           ,           
 1995,      0.002,      0.000,      0.003,      0.004
 1996,      0.003,      0.000,      0.004,      0.004
 1997,      0.006,      0.000,      0.004,      0.003
 1998,      0.010,      0.001,      0.005,      0.004
 1999,      0.014,      0.001,      0.005,      0.003
 2000,      0.018,      0.001,      0.006,      0.003
 2001,      0.021,      0.001,      0.011,      0.004
 2002,      0.029,      0.002,      0.016,      0.004
 2003,      0.036,      0.002,      0.019,      0.005
 2004,      0.032,      0.002,      0.015,      0.005
 2005,      0.031,      0.002,      0.010,      0.005
 2006,      0.032,      0.002,      0.011,      0.005
 2007,      0.032,      0.002,      0.014,      0.006
 2008,      0.028,      0.002,      0.014,      0.005
 2009,      0.020,      0.001,      0.014,      0.005
 2010,      0.019,      0.001,      0.017,      0.006
 2011,      0.028,      0.002,      0.019,      0.007
 2012,      0.037,      0.002,      0.018,      0.006
 2013,      0.038,      0.002,      0.013,      0.007
 2014,      0.041,      0.002,      0.011,      0.008
 2015,      0.044,      0.002,      0.015,      0.006
 2016,      0.047,      0.002,      0.015,      0.007
 2017,      0.050,      0.002,      0.022,      0.008
 2018,      0.054,      0.003,      0.017,      0.007
 2019,      0.057,      0.003,      0.010,      0.006
 2020,           ,           ,      0.009,      0.004
 2021,           ,           ,      0.008,      0.005
