# GAS: HFC-227ea
# UNITS: Tg CO2-eq
# GWP100yr: 3140.0
 Year, Invent2021, Invent_std,      InTEM,  InTEM_std
 1994,      0.000,      0.000,           ,           
 1995,      0.002,      0.000,           ,           
 1996,      0.012,      0.001,           ,           
 1997,      0.035,      0.002,           ,           
 1998,      0.070,      0.005,           ,           
 1999,      0.104,      0.007,           ,           
 2000,      0.146,      0.010,           ,           
 2001,      0.219,      0.014,           ,           
 2002,      0.305,      0.019,           ,           
 2003,      0.399,      0.025,           ,           
 2004,      0.411,      0.025,           ,           
 2005,      0.389,      0.024,           ,           
 2006,      0.399,      0.024,      0.165,      0.051
 2007,      0.408,      0.024,      0.137,      0.026
 2008,      0.383,      0.022,      0.105,      0.021
 2009,      0.389,      0.022,      0.095,      0.019
 2010,      0.411,      0.023,      0.115,      0.023
 2011,      0.440,      0.024,      0.117,      0.024
 2012,      0.465,      0.025,      0.113,      0.021
 2013,      0.484,      0.025,      0.109,      0.036
 2014,      0.509,      0.026,      0.137,      0.028
 2015,      0.528,      0.027,      0.160,      0.031
 2016,      0.534,      0.027,      0.192,      0.042
 2017,      0.537,      0.026,      0.221,      0.042
 2018,      0.534,      0.025,      0.284,      0.054
 2019,      0.528,      0.025,      0.178,      0.035
 2020,           ,           ,      0.152,      0.031
 2021,           ,           ,      0.181,      0.039
