# GAS: HFC-365mfc
# UNITS: Tg CO2-eq
# GWP100yr: 810.0
 Year, Invent2021, Invent_std,      InTEM,  InTEM_std
 1998,      0.002,      0.000,           ,           
 1999,      0.007,      0.000,           ,           
 2000,      0.015,      0.001,           ,           
 2001,      0.033,      0.002,           ,           
 2002,      0.054,      0.003,           ,           
 2003,      0.092,      0.006,           ,           
 2004,      0.103,      0.006,           ,           
 2005,      0.111,      0.007,      0.135,      0.015
 2006,      0.120,      0.007,      0.147,      0.014
 2007,      0.128,      0.008,      0.135,      0.014
 2008,      0.082,      0.005,      0.089,      0.010
 2009,      0.082,      0.005,      0.056,      0.008
 2010,      0.082,      0.005,      0.062,      0.010
 2011,      0.080,      0.004,      0.067,      0.010
 2012,      0.083,      0.004,      0.063,      0.009
 2013,      0.085,      0.005,      0.064,      0.014
 2014,      0.091,      0.005,      0.085,      0.012
 2015,      0.096,      0.005,      0.078,      0.012
 2016,      0.102,      0.005,      0.086,      0.015
 2017,      0.109,      0.005,      0.061,      0.014
 2018,      0.111,      0.005,      0.074,      0.013
 2019,      0.112,      0.005,      0.041,      0.010
 2020,           ,           ,      0.044,      0.010
 2021,           ,           ,      0.055,      0.010
