# GAS: HFC-43-10mee
# UNITS: Tg CO2-eq
# GWP100yr: 1470.0
 Year, Invent2021, Invent_std,      InTEM,  InTEM_std
 2000,      0.003,      0.000,           ,           
 2001,      0.009,      0.001,           ,           
 2002,      0.015,      0.001,           ,           
 2003,      0.018,      0.001,           ,           
 2004,      0.017,      0.001,           ,           
 2005,      0.017,      0.001,           ,           
 2006,      0.017,      0.001,           ,           
 2007,      0.016,      0.001,           ,           
 2008,      0.015,      0.001,           ,           
 2009,      0.014,      0.001,           ,           
 2010,      0.013,      0.001,           ,           
 2011,      0.014,      0.001,      0.012,      0.007
 2012,      0.014,      0.001,      0.014,      0.005
 2013,      0.015,      0.001,      0.012,      0.004
 2014,      0.015,      0.001,      0.010,      0.003
 2015,      0.016,      0.001,      0.010,      0.004
 2016,      0.016,      0.001,      0.009,      0.005
 2017,      0.015,      0.001,      0.013,      0.005
 2018,      0.014,      0.001,      0.011,      0.005
 2019,      0.014,      0.001,      0.011,      0.004
 2020,           ,           ,      0.007,      0.004
 2021,           ,           ,      0.009,      0.003
