# GAS: PFC-318
# UNITS: Tg CO2-eq
# GWP100yr: 9540.0
 Year, Invent2021, Invent_std,      InTEM,  InTEM_std
 1990,      0.000,      0.000,           ,           
 1991,      0.000,      0.000,           ,           
 1992,      0.000,      0.000,           ,           
 1993,      0.000,      0.000,           ,           
 1994,      0.000,      0.000,           ,           
 1995,      0.000,      0.000,           ,           
 1996,      0.000,      0.000,           ,           
 1997,      0.000,      0.000,           ,           
 1998,      0.000,      0.000,           ,           
 1999,      0.000,      0.000,           ,           
 2000,      0.000,      0.000,           ,           
 2001,      0.000,      0.000,           ,           
 2002,      0.000,      0.000,           ,           
 2003,      0.000,      0.000,           ,           
 2004,      0.000,      0.000,           ,           
 2005,      0.000,      0.000,           ,           
 2006,      0.000,      0.000,           ,           
 2007,      0.000,      0.000,           ,           
 2008,      0.000,      0.000,           ,           
 2009,      0.000,      0.000,           ,           
 2010,      0.000,      0.000,           ,           
 2011,      0.000,      0.000,      0.032,      0.047
 2012,      0.000,      0.000,      0.066,      0.040
 2013,      0.000,      0.000,      0.071,      0.055
 2014,      0.000,      0.000,      0.036,      0.043
 2015,      0.000,      0.000,      0.065,      0.054
 2016,      0.000,      0.000,      0.044,      0.077
 2017,      0.000,      0.000,      0.118,      0.099
 2018,      0.000,      0.000,      0.068,      0.084
 2019,      0.000,      0.000,      0.072,      0.039
 2020,           ,           ,      0.031,      0.048
 2021,           ,           ,      0.048,      0.047
