# GAS: gasname
# UNITS: Tg CO2-eq
# GWP100yr:28.0
Year ,Invent2023,Invent_Std,     Intem, InTEM_Std
 1990,    150.92,    18.116,     100.8,    21.448
 1991,    151.76,    18.032,     90.72,     21.84
 1992,    151.48,    17.808,     74.76,     20.16
 1993,    150.08,    17.416,     61.88,    15.792
 1994,    142.24,    16.352,     62.72,    13.944
 1995,     144.2,     16.38,      68.6,    13.104
 1996,    143.36,    16.128,     73.36,    12.712
 1997,    140.56,    15.624,      70.0,    13.216
 1998,    136.64,    15.036,     68.04,    14.504
 1999,    130.48,    14.168,     65.24,    13.944
 2000,    124.32,    13.356,     60.76,    11.928
 2001,    119.28,    12.684,     62.44,    11.704
 2002,    116.76,    12.236,     66.08,    12.936
 2003,    111.16,    11.536,     71.12,    13.692
 2004,    106.12,    10.864,     69.16,    12.964
 2005,    101.36,    10.248,      63.0,     12.18
 2006,      96.6,     9.632,     61.88,    12.292
 2007,      92.4,       9.1,     71.68,     8.848
 2008,     85.68,     8.344,      61.6,     7.756
 2009,     80.92,     7.784,      60.2,     8.232
 2010,      75.6,     7.196,      60.2,      7.42
 2011,      72.8,     6.804,     52.92,     6.468
 2012,     70.84,     6.552,      67.2,     4.648
 2013,     66.36,     6.048,     62.16,     4.116
 2014,     64.12,      5.74,     62.16,     3.584
 2015,      63.0,     5.572,      61.6,     3.584
 2016,     61.04,      5.32,     59.92,     3.808
 2017,     61.32,     5.264,     58.24,     3.808
 2018,     60.76,     5.152,     54.04,     3.752
 2019,     60.48,      5.04,     55.72,     3.696
 2020,     57.96,      4.76,      53.2,     3.556
 2021,      57.4,     4.648,     53.76,     3.528
 2022,          ,          ,     54.04,     3.724
 2023,          ,          ,     52.08,     3.808
