# GAS: gasname
# UNITS: Tg CO2-eq
# GWP100yr:148.0
Year ,Invent2023,Invent_Std,     Intem, InTEM_Std
 1990,    0.0000,    0.0000,          ,          
 1991,    0.0000,    0.0000,          ,          
 1992,    0.0000,    0.0000,          ,          
 1993,    0.0002,    0.0000,          ,          
 1994,    0.0007,    0.0000,          ,          
 1995,    0.0015,    0.0001,    0.0031,    0.0039
 1996,    0.0028,    0.0002,    0.0047,    0.0038
 1997,    0.0062,    0.0004,    0.0041,    0.0036
 1998,    0.0098,    0.0007,    0.0044,    0.0032
 1999,    0.0142,    0.0009,    0.0041,    0.0027
 2000,    0.0182,    0.0012,    0.0049,    0.0028
 2001,    0.0207,    0.0013,    0.0096,    0.0036
 2002,    0.0287,    0.0019,    0.0152,    0.0042
 2003,    0.0370,    0.0024,    0.0192,    0.0048
 2004,    0.0326,    0.0021,    0.0164,    0.0050
 2005,    0.0311,    0.0019,    0.0105,    0.0049
 2006,    0.0311,    0.0019,    0.0095,    0.0051
 2007,    0.0326,    0.0019,    0.0111,    0.0055
 2008,    0.0281,    0.0017,    0.0132,    0.0051
 2009,    0.0203,    0.0012,    0.0148,    0.0044
 2010,    0.0192,    0.0011,    0.0182,    0.0051
 2011,    0.0281,    0.0016,    0.0189,    0.0062
 2012,    0.0370,    0.0021,    0.0157,    0.0055
 2013,    0.0385,    0.0021,    0.0142,    0.0058
 2014,    0.0385,    0.0021,    0.0158,    0.0062
 2015,    0.0400,    0.0021,    0.0169,    0.0049
 2016,    0.0414,    0.0021,    0.0185,    0.0060
 2017,    0.0414,    0.0021,    0.0192,    0.0065
 2018,    0.0429,    0.0021,    0.0155,    0.0046
 2019,    0.0400,    0.0019,    0.0099,    0.0052
 2020,    0.0355,    0.0018,    0.0090,    0.0040
 2021,    0.0355,    0.0016,    0.0115,    0.0038
 2022,          ,          ,    0.0073,    0.0050
 2023,          ,          ,    0.0123,    0.0047
