# GAS: gasname
# UNITS: Tg CO2-eq
# GWP100yr:3140.0
Year ,Invent2023,Invent_Std,     Intem, InTEM_Std
 1990,    0.0000,    0.0000,          ,          
 1991,    0.0000,    0.0000,          ,          
 1992,    0.0000,    0.0000,          ,          
 1993,    0.0000,    0.0000,          ,          
 1994,    0.0000,    0.0000,          ,          
 1995,    0.0019,    0.0001,          ,          
 1996,    0.0116,    0.0008,          ,          
 1997,    0.0352,    0.0024,          ,          
 1998,    0.0700,    0.0047,          ,          
 1999,    0.1046,    0.0070,          ,          
 2000,    0.1466,    0.0097,          ,          
 2001,    0.2207,    0.0143,          ,          
 2002,    0.3071,    0.0197,          ,          
 2003,    0.4004,    0.0253,          ,          
 2004,    0.4154,    0.0259,          ,          
 2005,    0.3906,    0.0240,          ,          
 2006,    0.4029,    0.0244,    0.1620,    0.0637
 2007,    0.4113,    0.0246,    0.1426,    0.0311
 2008,    0.3865,    0.0227,    0.1181,    0.0242
 2009,    0.3941,    0.0228,    0.1134,    0.0201
 2010,    0.4139,    0.0236,    0.1319,    0.0283
 2011,    0.4434,    0.0248,    0.1347,    0.0314
 2012,    0.4701,    0.0259,    0.1319,    0.0223
 2013,    0.4886,    0.0265,    0.1341,    0.0273
 2014,    0.5156,    0.0275,    0.1780,    0.0236
 2015,    0.5363,    0.0281,    0.1680,    0.0257
 2016,    0.5429,    0.0280,    0.2145,    0.0314
 2017,    0.5457,    0.0276,    0.2182,    0.0320
 2018,    0.5413,    0.0269,    0.2050,    0.0336
 2019,    0.5347,    0.0261,    0.1777,    0.0276
 2020,    0.5269,    0.0252,    0.1736,    0.0270
 2021,    0.4908,    0.0230,    0.1595,    0.0270
 2022,          ,          ,    0.1492,    0.0327
 2023,          ,          ,    0.1134,    0.0480
