# GAS: gasname
# UNITS: Tg CO2-eq
# GWP100yr:12690.0
Year ,Invent2023,Invent_Std,     Intem, InTEM_Std
 1990,   12.3398,    0.9255,          ,          
 1991,   12.8169,    1.0152,          ,          
 1992,   13.3245,    1.0152,          ,          
 1993,   13.8321,    1.0152,          ,          
 1994,   14.3397,    1.0152,          ,          
 1995,   15.1011,    1.0152,          ,          
 1996,   15.4818,    1.0152,          ,          
 1997,   16.8777,    1.1421,          ,          
 1998,   13.0707,    0.8883,          ,          
 1999,    5.2092,    0.3483,          ,          
 2000,    2.7893,    0.1840,          ,          
 2001,    2.5037,    0.1628,          ,          
 2002,    2.1053,    0.1350,          ,          
 2003,    2.0215,    0.1279,          ,          
 2004,    0.3794,    0.0236,          ,          
 2005,    0.3642,    0.0223,          ,          
 2006,    0.2284,    0.0138,          ,          
 2007,    0.1180,    0.0070,          ,          
 2008,    0.0736,    0.0043,    0.1840,    0.1827
 2009,    0.0635,    0.0037,    0.1789,    0.1624
 2010,    0.0305,    0.0018,    0.2868,    0.1662
 2011,    0.0292,    0.0016,    0.2500,    0.1574
 2012,    0.0266,    0.0014,    0.1942,    0.1535
 2013,    0.0266,    0.0014,    0.1954,    0.2690
 2014,    0.0279,    0.0015,    0.6865,    0.2766
 2015,    0.0279,    0.0015,    0.2310,    0.2360
 2016,    0.0266,    0.0014,    0.4962,    0.2551
 2017,    0.0241,    0.0013,    0.4835,    0.3629
 2018,    0.0228,    0.0011,    0.0749,    0.2183
 2019,    0.0216,    0.0011,    0.1942,    0.2157
 2020,    0.0216,    0.0010,    0.0761,    0.1574
 2021,    0.0190,    0.0009,    0.0203,    0.2183
 2022,          ,          ,    0.4505,    0.1561
 2023,          ,          ,    0.2145,    0.1548
