# GAS: gasname
# UNITS: Tg CO2-eq
# GWP100yr:880.0
Year ,Invent2023,Invent_Std,     Intem, InTEM_Std
 1990,    0.0000,    0.0000,          ,          
 1991,    0.0000,    0.0000,          ,          
 1992,    0.0000,    0.0000,          ,          
 1993,    0.0000,    0.0000,          ,          
 1994,    0.0000,    0.0000,          ,          
 1995,    0.0000,    0.0000,          ,          
 1996,    0.0000,    0.0000,          ,          
 1997,    0.0000,    0.0000,          ,          
 1998,    0.0015,    0.0001,          ,          
 1999,    0.0048,    0.0003,          ,          
 2000,    0.0098,    0.0006,          ,          
 2001,    0.0205,    0.0013,          ,          
 2002,    0.0323,    0.0021,          ,          
 2003,    0.0515,    0.0033,          ,          
 2004,    0.0583,    0.0036,          ,          
 2005,    0.0638,    0.0039,          ,          
 2006,    0.0693,    0.0042,          ,          
 2007,    0.0752,    0.0045,          ,          
 2008,    0.0587,    0.0034,    0.0491,    0.0129
 2009,    0.0598,    0.0035,    0.0432,    0.0128
 2010,    0.0609,    0.0035,    0.0427,    0.0130
 2011,    0.0614,    0.0034,    0.0370,    0.0115
 2012,    0.0634,    0.0035,    0.0284,    0.0086
 2013,    0.0657,    0.0036,    0.0260,    0.0111
 2014,    0.0699,    0.0037,    0.0293,    0.0104
 2015,    0.0743,    0.0039,    0.0413,    0.0095
 2016,    0.0791,    0.0041,    0.0470,    0.0127
 2017,    0.0842,    0.0043,    0.0528,    0.0150
 2018,    0.0862,    0.0043,    0.0516,    0.0136
 2019,    0.0870,    0.0042,    0.0369,    0.0113
 2020,    0.0840,    0.0040,    0.0391,    0.0100
 2021,    0.0771,    0.0036,    0.0480,    0.0099
 2022,          ,          ,    0.0299,    0.0102
 2023,          ,          ,    0.0348,    0.0099
