# GAS: gasname
# UNITS: Tg CO2-eq
# GWP100yr:810.0
Year ,Invent2023,Invent_Std,     Intem, InTEM_Std
 1990,    0.0000,    0.0000,          ,          
 1991,    0.0000,    0.0000,          ,          
 1992,    0.0000,    0.0000,          ,          
 1993,    0.0000,    0.0000,          ,          
 1994,    0.0000,    0.0000,          ,          
 1995,    0.0000,    0.0000,          ,          
 1996,    0.0000,    0.0000,          ,          
 1997,    0.0000,    0.0000,          ,          
 1998,    0.0019,    0.0001,          ,          
 1999,    0.0065,    0.0004,          ,          
 2000,    0.0146,    0.0010,          ,          
 2001,    0.0334,    0.0022,          ,          
 2002,    0.0539,    0.0035,          ,          
 2003,    0.0917,    0.0058,          ,          
 2004,    0.1029,    0.0064,          ,          
 2005,    0.1113,    0.0068,    0.1389,    0.0138
 2006,    0.1196,    0.0072,    0.1364,    0.0148
 2007,    0.1279,    0.0076,    0.1249,    0.0150
 2008,    0.0821,    0.0048,    0.0889,    0.0118
 2009,    0.0821,    0.0047,    0.0641,    0.0087
 2010,    0.0817,    0.0047,    0.0705,    0.0097
 2011,    0.0804,    0.0045,    0.0694,    0.0102
 2012,    0.0825,    0.0045,    0.0635,    0.0084
 2013,    0.0852,    0.0046,    0.0667,    0.0118
 2014,    0.0903,    0.0048,    0.0949,    0.0108
 2015,    0.0959,    0.0050,    0.0815,    0.0108
 2016,    0.1021,    0.0053,    0.0923,    0.0143
 2017,    0.1091,    0.0055,    0.0620,    0.0117
 2018,    0.1109,    0.0055,    0.0617,    0.0108
 2019,    0.1117,    0.0055,    0.0380,    0.0088
 2020,    0.1064,    0.0051,    0.0520,    0.0096
 2021,    0.0960,    0.0045,    0.0521,    0.0075
 2022,          ,          ,    0.0269,    0.0089
 2023,          ,          ,    0.0236,    0.0087
