# GAS: gasname
# UNITS: Tg CO2-eq
# GWP100yr:1470.0
Year ,Invent2023,Invent_Std,     Intem, InTEM_Std
 1990,    0.0000,    0.0000,          ,          
 1991,    0.0000,    0.0000,          ,          
 1992,    0.0000,    0.0000,          ,          
 1993,    0.0000,    0.0000,          ,          
 1994,    0.0000,    0.0000,          ,          
 1995,    0.0000,    0.0000,          ,          
 1996,    0.0000,    0.0000,          ,          
 1997,    0.0000,    0.0000,          ,          
 1998,    0.0000,    0.0000,          ,          
 1999,    0.0000,    0.0000,          ,          
 2000,    0.0031,    0.0002,          ,          
 2001,    0.0093,    0.0006,          ,          
 2002,    0.0151,    0.0010,          ,          
 2003,    0.0176,    0.0011,          ,          
 2004,    0.0169,    0.0011,          ,          
 2005,    0.0166,    0.0010,          ,          
 2006,    0.0166,    0.0010,          ,          
 2007,    0.0163,    0.0010,          ,          
 2008,    0.0153,    0.0009,          ,          
 2009,    0.0138,    0.0008,          ,          
 2010,    0.0135,    0.0008,          ,          
 2011,    0.0137,    0.0008,    0.0103,    0.0066
 2012,    0.0143,    0.0008,    0.0135,    0.0046
 2013,    0.0147,    0.0008,    0.0126,    0.0034
 2014,    0.0150,    0.0008,    0.0122,    0.0037
 2015,    0.0162,    0.0009,    0.0122,    0.0034
 2016,    0.0162,    0.0008,    0.0112,    0.0038
 2017,    0.0151,    0.0008,    0.0113,    0.0041
 2018,    0.0147,    0.0007,    0.0128,    0.0041
 2019,    0.0147,    0.0007,    0.0116,    0.0037
 2020,    0.0147,    0.0007,    0.0082,    0.0029
 2021,    0.0146,    0.0007,    0.0082,    0.0029
 2022,          ,          ,    0.0054,    0.0031
 2023,          ,          ,    0.0065,    0.0110
