# GAS: gasname
# UNITS: Tg CO2-eq
# GWP100yr:265.0
Year ,Invent2023,Invent_Std,     Intem, InTEM_Std
 1990,   44.5200,    6.5720,   34.7150,    8.8510
 1991,   44.5200,    6.4925,   33.9200,    8.7450
 1992,   40.0150,    5.7505,   32.5950,    8.1090
 1993,   36.3050,    5.1145,   31.2700,    7.2875
 1994,   36.8350,    5.1145,   31.5350,    6.1215
 1995,   35.7750,    4.8495,   32.3300,    5.3265
 1996,   35.7750,    4.7965,   34.7150,    4.8495
 1997,   36.0400,    4.7435,   35.5100,    4.8760
 1998,   36.0400,    4.6640,   35.7750,    4.8495
 1999,   27.5600,    3.4980,   32.0650,    4.8760
 2000,   27.0300,    3.3390,   28.6200,    4.6375
 2001,   25.6255,    3.1270,   26.7650,    4.5845
 2002,   24.1415,    2.8885,   28.0900,    4.5315
 2003,   23.7440,    2.7825,   29.6800,    4.5315
 2004,   24.2210,    2.7825,   30.4750,    4.5580
 2005,   23.2670,    2.6209,   28.8850,    4.5845
 2006,   22.2865,    2.4592,   26.7650,    4.7170
 2007,   22.3130,    2.4088,   24.6980,    4.8204
 2008,   21.7565,    2.2976,   22.3660,    4.7329
 2009,   20.3520,    2.1014,   19.7690,    4.6216
 2010,   20.7230,    2.0909,   18.9210,    4.5341
 2011,   20.0075,    1.9716,   20.2460,    4.6057
 2012,   19.7425,    1.9001,   26.7650,    3.1800
 2013,   19.7425,    1.8524,   25.4930,    2.8276
 2014,   20.2725,    1.8550,   26.7650,    2.3850
 2015,   20.0870,    1.7888,   24.7775,    2.2923
 2016,   19.6100,    1.7013,   25.8110,    2.3346
 2017,   19.9810,    1.6854,   26.4205,    2.3664
 2018,   19.7955,    1.6244,   25.8110,    2.4036
 2019,   19.9015,    1.5874,   23.5585,    2.1147
 2020,   18.7355,    1.4495,   23.4790,    2.1465
 2021,   19.1860,    1.4389,   24.3005,    2.2446
 2022,          ,          ,   22.4190,    2.5016
 2023,          ,          ,   24.4595,    3.0184
