# GAS: gasname
# UNITS: Tg CO2-eq
# GWP100yr:16100.0
Year ,Invent2023,Invent_Std,     Intem, InTEM_Std
 1990,    0.0000,    0.0000,          ,          
 1991,    0.0000,    0.0000,          ,          
 1992,    0.0000,    0.0000,          ,          
 1993,    0.0000,    0.0000,          ,          
 1994,    0.0000,    0.0000,          ,          
 1995,    0.0000,    0.0000,          ,          
 1996,    0.0000,    0.0000,          ,          
 1997,    0.0000,    0.0002,          ,          
 1998,    0.0000,    0.0002,          ,          
 1999,    0.0000,    0.0002,          ,          
 2000,    0.0000,    0.0002,          ,          
 2001,    0.0000,    0.0002,          ,          
 2002,    0.0000,    0.0002,          ,          
 2003,    0.0000,    0.0000,          ,          
 2004,    0.0000,    0.0000,          ,          
 2005,    0.0000,    0.0002,          ,          
 2006,    0.0000,    0.0002,          ,          
 2007,    0.0000,    0.0002,          ,          
 2008,    0.0000,    0.0002,          ,          
 2009,    0.0000,    0.0002,          ,          
 2010,    0.0000,    0.0002,          ,          
 2011,    0.0000,    0.0002,          ,          
 2012,    0.0000,    0.0002,          ,          
 2013,    0.0000,    0.0002,    0.0000,    0.0741
 2014,    0.0000,    0.0002,    0.0129,    0.0338
 2015,    0.0000,    0.0002,    0.0032,    0.0354
 2016,    0.0000,    0.0002,    0.0113,    0.0386
 2017,    0.0000,    0.0002,    0.0241,    0.0564
 2018,    0.0000,    0.0002,    0.0016,    0.0386
 2019,    0.0000,    0.0002,    0.0580,    0.0338
 2020,    0.0000,    0.0002,    0.0129,    0.0370
 2021,    0.0000,    0.0002,    0.0145,    0.0370
 2022,          ,          ,    0.0628,    0.0805
 2023,          ,          ,    0.0258,    0.1111
