# GAS: gasname
# UNITS: Tg CO2-eq
# GWP100yr:11100.0
Year ,Invent2023,Invent_Std,     Intem, InTEM_Std
 1990,    0.3008,    0.0075,          ,          
 1991,    0.2620,    0.0077,          ,          
 1992,    0.1543,    0.0051,          ,          
 1993,    0.1454,    0.0054,          ,          
 1994,    0.1521,    0.0062,          ,          
 1995,    0.1554,    0.0071,          ,          
 1996,    0.1676,    0.0083,          ,          
 1997,    0.1676,    0.0090,          ,          
 1998,    0.1532,    0.0088,          ,          
 1999,    0.1643,    0.0101,          ,          
 2000,    0.1987,    0.0131,          ,          
 2001,    0.1376,    0.0095,          ,          
 2002,    0.1254,    0.0092,          ,          
 2003,    0.1188,    0.0092,          ,          
 2004,    0.1310,    0.0107,          ,          
 2005,    0.1166,    0.0100,    0.1166,    0.1210
 2006,    0.1121,    0.0101,    0.1232,    0.1288
 2007,    0.0943,    0.0089,    0.1787,    0.1254
 2008,    0.0888,    0.0087,    0.1931,    0.1010
 2009,    0.0733,    0.0075,    0.1565,    0.0799
 2010,    0.0833,    0.0088,    0.0899,    0.0710
 2011,    0.0988,    0.0109,    0.0633,    0.0555
 2012,    0.0699,    0.0080,    0.0833,    0.0389
 2013,    0.0755,    0.0090,    0.0966,    0.0588
 2014,    0.0722,    0.0088,    0.0844,    0.0500
 2015,    0.0744,    0.0093,    0.0733,    0.0477
 2016,    0.0744,    0.0097,    0.0755,    0.0533
 2017,    0.0855,    0.0115,    0.0577,    0.0666
 2018,    0.0566,    0.0079,    0.0278,    0.0500
 2019,    0.0611,    0.0088,    0.0477,    0.0377
 2020,    0.0533,    0.0079,    0.0233,    0.0311
 2021,    0.0555,    0.0084,    0.0577,    0.0466
 2022,          ,          ,    0.1277,    0.0544
 2023,          ,          ,    0.0744,    0.0877
