# GAS: gasname
# UNITS: Tg CO2-eq
# GWP100yr:23500.0
Year ,Invent2023,Invent_Std,     Intem, InTEM_Std
 1990,    1.2455,    0.0658,          ,          
 1991,    1.2925,    0.0681,          ,          
 1992,    1.3630,    0.0728,          ,          
 1993,    1.1985,    0.0635,          ,          
 1994,    1.2455,    0.0658,          ,          
 1995,    1.2925,    0.0681,          ,          
 1996,    1.3395,    0.0705,          ,          
 1997,    1.3160,    0.0705,          ,          
 1998,    1.3630,    0.0728,          ,          
 1999,    1.5275,    0.0823,          ,          
 2000,    1.8565,    0.0987,          ,          
 2001,    1.4805,    0.0775,          ,          
 2002,    1.5040,    0.0799,          ,          
 2003,    1.3395,    0.0705,          ,          
 2004,    1.1280,    0.0587,          ,          
 2005,    1.0575,    0.0564,    0.6110,    0.3737
 2006,    0.8695,    0.0470,    0.9635,    0.3995
 2007,    0.8225,    0.0446,    1.3630,    0.4324
 2008,    0.6815,    0.0352,    1.5040,    0.4230
 2009,    0.5640,    0.0305,    1.4570,    0.4066
 2010,    0.6815,    0.0352,    1.2455,    0.3807
 2011,    0.5640,    0.0305,    1.0810,    0.3290
 2012,    0.5405,    0.0282,    1.0810,    0.3854
 2013,    0.4700,    0.0259,    0.9870,    0.4629
 2014,    0.4371,    0.0233,    0.8460,    0.2585
 2015,    0.4183,    0.0221,    0.7050,    0.2139
 2016,    0.4488,    0.0237,    0.7755,    0.3055
 2017,    0.4536,    0.0240,    0.7520,    0.2515
 2018,    0.5640,    0.0305,    0.8460,    0.2421
 2019,    0.4935,    0.0259,    0.7285,    0.1645
 2020,    0.4206,    0.0223,    0.6345,    0.1716
 2021,    0.4206,    0.0223,    0.5405,    0.3337
 2022,          ,          ,    0.6110,    0.2891
 2023,          ,          ,    0.6110,    0.3361
